taxonid|relatednameusageid|relationtype|remarks
106516|63995|replacement name|, nom. illeg.
171358|16063|replacement name|, nom. superfl.
8234|8301|replacement name|, nom. illeg.
115290|8346|replacement name|, nom. superfl.
8368|8367|replacement name|, not validly publ.
8455|8459|replacement name|
163755|188564|replacement name|
8659|163755|replacement name|, nom. superfl.
8751|214875|replacement name|, nom. cons.
8781|214876|replacement name|, nom. illeg.
114183|342599|replacement name|
458815|343708|replacement name|, nom. superfl.
468341|343708|replacement name|
461376|343708|replacement name|, nom. superfl.
8883|8918|replacement name|
72440|9049|replacement name|
545477|9070|replacement name|, nom. superfl.
126441|9070|replacement name|, nom. illeg.
9070|126394|replacement name|, nom. illeg.
72958|126412|replacement name|
73356|9075|replacement name|
73559|9052|replacement name|
127077|99650|replacement name|
9082|9190|replacement name|, nom. superfl.
9205|105286|replacement name|
532682|9369|replacement name|, nom. superfl.
9396|9395|replacement name|, not validly publ.
4008|9404|replacement name|
132985|9440|replacement name|
9457|117101|replacement name|
9411|117101|replacement name|
9487|3924|replacement name|
9459|3956|replacement name|, nom. superfl.
9503|9586|replacement name|
9557|114192|replacement name|
9257|9686|replacement name|
9721|9473|replacement name|
9735|9504|replacement name|
9262|9750|replacement name|, nom. illeg.
201336|16614|replacement name|
